stage,relative_path,reason,size_bytes
56_big_remaining_marker_index,01_remaining_marker_file_inventory_part001.csv,skip_pattern:file_inventory_part,1728599
56_big_remaining_marker_index,01_remaining_marker_file_inventory_part002.csv,skip_pattern:file_inventory_part,1749242
56_big_remaining_marker_index,01_remaining_marker_file_inventory_part003.csv,skip_pattern:file_inventory_part,209116
56_big_remaining_marker_index,02_remaining_marker_contexts_part001.csv,skip_pattern:contexts_part,1728440
56_big_remaining_marker_index,02_remaining_marker_contexts_part002.csv,skip_pattern:contexts_part,1729390
56_big_remaining_marker_index,02_remaining_marker_contexts_part003.csv,skip_pattern:contexts_part,1721373
56_big_remaining_marker_index,02_remaining_marker_contexts_part004.csv,skip_pattern:contexts_part,1724202
56_big_remaining_marker_index,02_remaining_marker_contexts_part005.csv,skip_pattern:contexts_part,1734556
56_big_remaining_marker_index,02_remaining_marker_contexts_part006.csv,skip_pattern:contexts_part,1735982
56_big_remaining_marker_index,02_remaining_marker_contexts_part007.csv,skip_pattern:contexts_part,1731847
56_big_remaining_marker_index,02_remaining_marker_contexts_part008.csv,skip_pattern:contexts_part,1734903
56_big_remaining_marker_index,02_remaining_marker_contexts_part009.csv,skip_pattern:contexts_part,1736305
56_big_remaining_marker_index,02_remaining_marker_contexts_part010.csv,skip_pattern:contexts_part,1732610
56_big_remaining_marker_index,02_remaining_marker_contexts_part011.csv,skip_pattern:contexts_part,1733055
56_big_remaining_marker_index,02_remaining_marker_contexts_part012.csv,skip_pattern:contexts_part,1735768
56_big_remaining_marker_index,02_remaining_marker_contexts_part013.csv,skip_pattern:contexts_part,1733406
56_big_remaining_marker_index,02_remaining_marker_contexts_part014.csv,skip_pattern:contexts_part,1736675
56_big_remaining_marker_index,02_remaining_marker_contexts_part015.csv,skip_pattern:contexts_part,1733634
56_big_remaining_marker_index,02_remaining_marker_contexts_part016.csv,skip_pattern:contexts_part,1737149
56_big_remaining_marker_index,02_remaining_marker_contexts_part017.csv,skip_pattern:contexts_part,1735205
56_big_remaining_marker_index,02_remaining_marker_contexts_part018.csv,skip_pattern:contexts_part,1730594
56_big_remaining_marker_index,02_remaining_marker_contexts_part019.csv,skip_pattern:contexts_part,1736322
56_big_remaining_marker_index,02_remaining_marker_contexts_part020.csv,skip_pattern:contexts_part,1734756
56_big_remaining_marker_index,02_remaining_marker_contexts_part021.csv,skip_pattern:contexts_part,1735663
56_big_remaining_marker_index,02_remaining_marker_contexts_part022.csv,skip_pattern:contexts_part,1737645
56_big_remaining_marker_index,02_remaining_marker_contexts_part023.csv,skip_pattern:contexts_part,1735348
56_big_remaining_marker_index,02_remaining_marker_contexts_part024.csv,skip_pattern:contexts_part,1734990
56_big_remaining_marker_index,02_remaining_marker_contexts_part025.csv,skip_pattern:contexts_part,1735103
56_big_remaining_marker_index,02_remaining_marker_contexts_part026.csv,skip_pattern:contexts_part,1737269
56_big_remaining_marker_index,02_remaining_marker_contexts_part027.csv,skip_pattern:contexts_part,1736216
56_big_remaining_marker_index,02_remaining_marker_contexts_part028.csv,skip_pattern:contexts_part,1735188
56_big_remaining_marker_index,02_remaining_marker_contexts_part029.csv,skip_pattern:contexts_part,1736840
56_big_remaining_marker_index,02_remaining_marker_contexts_part030.csv,skip_pattern:contexts_part,1736352
56_big_remaining_marker_index,02_remaining_marker_contexts_part031.csv,skip_pattern:contexts_part,1735219
56_big_remaining_marker_index,02_remaining_marker_contexts_part032.csv,skip_pattern:contexts_part,1736208
56_big_remaining_marker_index,02_remaining_marker_contexts_part033.csv,skip_pattern:contexts_part,1736604
56_big_remaining_marker_index,02_remaining_marker_contexts_part034.csv,skip_pattern:contexts_part,1736737
56_big_remaining_marker_index,02_remaining_marker_contexts_part035.csv,skip_pattern:contexts_part,1735024
56_big_remaining_marker_index,02_remaining_marker_contexts_part036.csv,skip_pattern:contexts_part,1737134
56_big_remaining_marker_index,02_remaining_marker_contexts_part037.csv,skip_pattern:contexts_part,1735081
56_big_remaining_marker_index,02_remaining_marker_contexts_part038.csv,skip_pattern:contexts_part,1737799
56_big_remaining_marker_index,02_remaining_marker_contexts_part039.csv,skip_pattern:contexts_part,545407
56_big_remaining_marker_index,56_big_remaining_marker_index.py,not_safe_ext:.py,23901
56_big_remaining_marker_index,run_56_big_remaining_marker_index.bat,not_safe_ext:.bat,811
57_trust_graph_lineage_review,01_trust_graph_contexts_part001.csv,skip_pattern:contexts_part,1684333
57_trust_graph_lineage_review,01_trust_graph_contexts_part002.csv,skip_pattern:contexts_part,1694041
57_trust_graph_lineage_review,01_trust_graph_contexts_part003.csv,skip_pattern:contexts_part,1702078
57_trust_graph_lineage_review,01_trust_graph_contexts_part004.csv,skip_pattern:contexts_part,1699200
57_trust_graph_lineage_review,01_trust_graph_contexts_part005.csv,skip_pattern:contexts_part,1701659
57_trust_graph_lineage_review,01_trust_graph_contexts_part006.csv,skip_pattern:contexts_part,1702169
57_trust_graph_lineage_review,01_trust_graph_contexts_part007.csv,skip_pattern:contexts_part,1698401
57_trust_graph_lineage_review,01_trust_graph_contexts_part008.csv,skip_pattern:contexts_part,1703806
57_trust_graph_lineage_review,01_trust_graph_contexts_part009.csv,skip_pattern:contexts_part,1703827
57_trust_graph_lineage_review,01_trust_graph_contexts_part010.csv,skip_pattern:contexts_part,1703190
57_trust_graph_lineage_review,01_trust_graph_contexts_part011.csv,skip_pattern:contexts_part,1703234
57_trust_graph_lineage_review,01_trust_graph_contexts_part012.csv,skip_pattern:contexts_part,1704009
57_trust_graph_lineage_review,01_trust_graph_contexts_part013.csv,skip_pattern:contexts_part,1703858
57_trust_graph_lineage_review,01_trust_graph_contexts_part014.csv,skip_pattern:contexts_part,900466
57_trust_graph_lineage_review,02_trust_graph_file_inventory_part001.csv,skip_pattern:file_inventory_part,1742006
57_trust_graph_lineage_review,02_trust_graph_file_inventory_part002.csv,skip_pattern:file_inventory_part,1190151
57_trust_graph_lineage_review,57_trust_graph_lineage_review.py,not_safe_ext:.py,23221
57_trust_graph_lineage_review,run_57_trust_graph_lineage_review.bat,not_safe_ext:.bat,825
58_trust_graph_lineage_seal,58_trust_graph_lineage_seal.py,not_safe_ext:.py,24305
58_trust_graph_lineage_seal,run_58_trust_graph_lineage_seal.bat,not_safe_ext:.bat,815
59_backup_manifest_inheritance_deep_index,01_backup_generation_summary.csv,too_large,4531127
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part001.csv,skip_pattern:file_inventory_part,1754797
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part002.csv,skip_pattern:file_inventory_part,1782021
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part003.csv,skip_pattern:file_inventory_part,1783152
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part004.csv,skip_pattern:file_inventory_part,1786667
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part005.csv,skip_pattern:file_inventory_part,1786783
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part006.csv,skip_pattern:file_inventory_part,1784287
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part007.csv,skip_pattern:file_inventory_part,1713911
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part008.csv,skip_pattern:file_inventory_part,1713713
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part009.csv,skip_pattern:file_inventory_part,1713440
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part010.csv,skip_pattern:file_inventory_part,1713396
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part011.csv,skip_pattern:file_inventory_part,1713749
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part012.csv,skip_pattern:file_inventory_part,1713694
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part013.csv,skip_pattern:file_inventory_part,1713877
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part014.csv,skip_pattern:file_inventory_part,1713729
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part015.csv,skip_pattern:file_inventory_part,1713798
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part016.csv,skip_pattern:file_inventory_part,1713792
59_backup_manifest_inheritance_deep_index,02_backup_metadata_file_inventory_part017.csv,skip_pattern:file_inventory_part,670660
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part001.csv,skip_pattern:09_backup_contexts_from_56_part,1728621
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part002.csv,skip_pattern:09_backup_contexts_from_56_part,1727813
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part003.csv,skip_pattern:09_backup_contexts_from_56_part,1729407
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part004.csv,skip_pattern:09_backup_contexts_from_56_part,1730196
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part005.csv,skip_pattern:09_backup_contexts_from_56_part,1726045
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part006.csv,skip_pattern:09_backup_contexts_from_56_part,1724614
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part007.csv,skip_pattern:09_backup_contexts_from_56_part,1725541
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part008.csv,skip_pattern:09_backup_contexts_from_56_part,1725484
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part009.csv,skip_pattern:09_backup_contexts_from_56_part,1725355
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part010.csv,skip_pattern:09_backup_contexts_from_56_part,1726142
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part011.csv,skip_pattern:09_backup_contexts_from_56_part,1725859
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part012.csv,skip_pattern:09_backup_contexts_from_56_part,1726269
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part013.csv,skip_pattern:09_backup_contexts_from_56_part,1725091
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part014.csv,skip_pattern:09_backup_contexts_from_56_part,1725493
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part015.csv,skip_pattern:09_backup_contexts_from_56_part,1725197
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part016.csv,skip_pattern:09_backup_contexts_from_56_part,1726112
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part017.csv,skip_pattern:09_backup_contexts_from_56_part,1725328
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part018.csv,skip_pattern:09_backup_contexts_from_56_part,1727245
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part019.csv,skip_pattern:09_backup_contexts_from_56_part,1725415
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part020.csv,skip_pattern:09_backup_contexts_from_56_part,1725469
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part021.csv,skip_pattern:09_backup_contexts_from_56_part,1727287
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part022.csv,skip_pattern:09_backup_contexts_from_56_part,1726360
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part023.csv,skip_pattern:09_backup_contexts_from_56_part,1725702
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part024.csv,skip_pattern:09_backup_contexts_from_56_part,1726236
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part025.csv,skip_pattern:09_backup_contexts_from_56_part,1726405
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part026.csv,skip_pattern:09_backup_contexts_from_56_part,1726067
59_backup_manifest_inheritance_deep_index,09_backup_contexts_from_56_part027.csv,skip_pattern:09_backup_contexts_from_56_part,1652299
59_backup_manifest_inheritance_deep_index,59_backup_manifest_inheritance_deep_index.py,not_safe_ext:.py,43663
59_backup_manifest_inheritance_deep_index,run_59_backup_manifest_inheritance_deep_index.bat,not_safe_ext:.bat,971
60_backup_manifest_inheritance_seal,60_backup_manifest_inheritance_seal.py,not_safe_ext:.py,28190
60_backup_manifest_inheritance_seal,run_60_backup_manifest_inheritance_seal.bat,not_safe_ext:.bat,867
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part001.csv,skip_pattern:contexts_part,1659189
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part002.csv,skip_pattern:contexts_part,1661191
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part003.csv,skip_pattern:contexts_part,1649519
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part004.csv,skip_pattern:contexts_part,1655183
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part005.csv,skip_pattern:contexts_part,1664003
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part006.csv,skip_pattern:contexts_part,1669247
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part007.csv,skip_pattern:contexts_part,1667931
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part008.csv,skip_pattern:contexts_part,1667520
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part009.csv,skip_pattern:contexts_part,1669173
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part010.csv,skip_pattern:contexts_part,1671654
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part011.csv,skip_pattern:contexts_part,1665963
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part012.csv,skip_pattern:contexts_part,1666323
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part013.csv,skip_pattern:contexts_part,1671190
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part014.csv,skip_pattern:contexts_part,1666940
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part015.csv,skip_pattern:contexts_part,1671957
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part016.csv,skip_pattern:contexts_part,1671568
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part017.csv,skip_pattern:contexts_part,1667771
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part018.csv,skip_pattern:contexts_part,1672501
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part019.csv,skip_pattern:contexts_part,1670630
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part020.csv,skip_pattern:contexts_part,1661540
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part021.csv,skip_pattern:contexts_part,1672345
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part022.csv,skip_pattern:contexts_part,1667684
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part023.csv,skip_pattern:contexts_part,1672181
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part024.csv,skip_pattern:contexts_part,1671101
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part025.csv,skip_pattern:contexts_part,1670481
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part026.csv,skip_pattern:contexts_part,1672346
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part027.csv,skip_pattern:contexts_part,1671384
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part028.csv,skip_pattern:contexts_part,1665663
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part029.csv,skip_pattern:contexts_part,1672276
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part030.csv,skip_pattern:contexts_part,1672483
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part031.csv,skip_pattern:contexts_part,1670892
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part032.csv,skip_pattern:contexts_part,1668487
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part033.csv,skip_pattern:contexts_part,1672631
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part034.csv,skip_pattern:contexts_part,1671974
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part035.csv,skip_pattern:contexts_part,1668188
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part036.csv,skip_pattern:contexts_part,1672765
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part037.csv,skip_pattern:contexts_part,1670893
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part038.csv,skip_pattern:contexts_part,1670598
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part039.csv,skip_pattern:contexts_part,1671611
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part040.csv,skip_pattern:contexts_part,1669124
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part041.csv,skip_pattern:contexts_part,1672928
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part042.csv,skip_pattern:contexts_part,1671157
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part043.csv,skip_pattern:contexts_part,1669791
61_proximity_vs_cloud_separation_review,01_proximity_cloud_contexts_part044.csv,skip_pattern:contexts_part,1669363
