番号,元ファイル,pack内パス,サイズbytes,状態
58,00_MASTER_SUMMARY.json,58/00_MASTER_SUMMARY.json,1273,COPIED_SANITIZED
58,09_README_VERDICT.txt,58/09_README_VERDICT.txt,1390,COPIED_SANITIZED
58,02_trust_family_final_assessment.csv,58/02_trust_family_final_assessment.csv,848,COPIED_SANITIZED
58,03_device_trust_graph_final_role.csv,58/03_device_trust_graph_final_role.csv,1332,COPIED_SANITIZED
58,04_noise_and_limitations.csv,58/04_noise_and_limitations.csv,739,COPIED_SANITIZED
58,05_claim_boundary_trust_graph.csv,58/05_claim_boundary_trust_graph.csv,1082,COPIED_SANITIZED
58,06_normal_vs_control_trust_graph_seal.csv,58/06_normal_vs_control_trust_graph_seal.csv,1028,COPIED_SANITIZED
60,00_MASTER_SUMMARY.json,60/00_MASTER_SUMMARY.json,1661,COPIED_SANITIZED
60,10_README_VERDICT.txt,60/10_README_VERDICT.txt,1905,COPIED_SANITIZED
60,02_manifest_state_final_assessment.csv,60/02_manifest_state_final_assessment.csv,757,COPIED_SANITIZED
60,03_manifestdb_transition_final_assessment.csv,60/03_manifestdb_transition_final_assessment.csv,891,COPIED_SANITIZED
60,04_hash_size_pattern_final_assessment.csv,60/04_hash_size_pattern_final_assessment.csv,725,COPIED_SANITIZED
60,05_device_backup_manifest_final_role.csv,60/05_device_backup_manifest_final_role.csv,1552,COPIED_SANITIZED
60,06_normal_vs_control_backup_manifest_seal.csv,60/06_normal_vs_control_backup_manifest_seal.csv,1093,COPIED_SANITIZED
60,07_claim_boundary_backup_manifest.csv,60/07_claim_boundary_backup_manifest.csv,1279,COPIED_SANITIZED
61,00_MASTER_SUMMARY.json,61/00_MASTER_SUMMARY.json,1789,COPIED_SANITIZED
61,11_README_VERDICT.txt,61/11_README_VERDICT.txt,1499,COPIED_SANITIZED
61,04_shared_bssid_plmn_candidate_matrix.csv,61/04_shared_bssid_plmn_candidate_matrix.csv,771,COPIED_SANITIZED
61,05_daily_proximity_cloud_matrix.csv,61/05_daily_proximity_cloud_matrix.csv,5680,COPIED_SANITIZED
61,06_c2025aug_cluster_proximity_cloud_alignment.csv,61/06_c2025aug_cluster_proximity_cloud_alignment.csv,1223,COPIED_SANITIZED
61,07_device_proximity_cloud_summary.csv,61/07_device_proximity_cloud_summary.csv,308,COPIED_SANITIZED
61,08_normal_vs_control_proximity_cloud_interpretation.csv,61/08_normal_vs_control_proximity_cloud_interpretation.csv,834,COPIED_SANITIZED
61,09_claim_boundary_proximity_cloud.csv,61/09_claim_boundary_proximity_cloud.csv,790,COPIED_SANITIZED
62,00_MASTER_SUMMARY.json,62/00_MASTER_SUMMARY.json,1748,COPIED_SANITIZED
62,11_README_VERDICT.txt,62/11_README_VERDICT.txt,1542,COPIED_SANITIZED
62,03_daily_evidence_pressure_matrix.csv,62/03_daily_evidence_pressure_matrix.csv,29480,COPIED_SANITIZED
62,04_device_evidence_pressure_summary.csv,62/04_device_evidence_pressure_summary.csv,830,COPIED_SANITIZED
62,05_process_marker_summary.csv,62/05_process_marker_summary.csv,1444,COPIED_SANITIZED
62,06_trigger_pressure_cooccurrence.csv,62/06_trigger_pressure_cooccurrence.csv,29741,COPIED_SANITIZED
62,07_incident_day_evidence_pressure_alignment.csv,62/07_incident_day_evidence_pressure_alignment.csv,318,COPIED_SANITIZED
62,08_normal_vs_control_evidence_pressure_interpretation.csv,62/08_normal_vs_control_evidence_pressure_interpretation.csv,1256,COPIED_SANITIZED
62,09_claim_boundary_evidence_pressure.csv,62/09_claim_boundary_evidence_pressure.csv,934,COPIED_SANITIZED
63,00_MASTER_SUMMARY.json,63/00_MASTER_SUMMARY.json,1527,COPIED_SANITIZED
63,10_README_VERDICT.txt,63/10_README_VERDICT.txt,1283,COPIED_SANITIZED
63,02_device_axis_score_matrix.csv,63/02_device_axis_score_matrix.csv,1927,COPIED_SANITIZED
63,03_group_stress_comparison.csv,63/03_group_stress_comparison.csv,473,COPIED_SANITIZED
63,04_normal_hypothesis_stress_table.csv,63/04_normal_hypothesis_stress_table.csv,1836,COPIED_SANITIZED
63,05_control_device_baseline_review.csv,63/05_control_device_baseline_review.csv,1055,COPIED_SANITIZED
63,06_abnormal_cluster_vs_control_boundary.csv,63/06_abnormal_cluster_vs_control_boundary.csv,925,COPIED_SANITIZED
63,07_claim_boundary_normal_control.csv,63/07_claim_boundary_normal_control.csv,941,COPIED_SANITIZED
63b,00_MASTER_SUMMARY.json,63b/00_MASTER_SUMMARY.json,1525,COPIED_SANITIZED
63b,10_README_VERDICT.txt,63b/10_README_VERDICT.txt,1403,COPIED_SANITIZED
63b,01_device_score_recompute_diff.csv,63b/01_device_score_recompute_diff.csv,2240,COPIED_SANITIZED
63b,02_group_stress_recompute_diff.csv,63b/02_group_stress_recompute_diff.csv,798,COPIED_SANITIZED
63b,03_source_support_by_device.csv,63b/03_source_support_by_device.csv,2939,COPIED_SANITIZED
63b,05_control_risk_review.csv,63b/05_control_risk_review.csv,1235,COPIED_SANITIZED
63b,06_hypothesis_diff_review.csv,63b/06_hypothesis_diff_review.csv,1054,COPIED_SANITIZED
63b,07_claim_boundary_63b.csv,63b/07_claim_boundary_63b.csv,735,COPIED_SANITIZED
64,00_MASTER_SUMMARY.json,64/00_MASTER_SUMMARY.json,1334,COPIED_SANITIZED
64,08_README_VERDICT.txt,64/08_README_VERDICT.txt,1295,COPIED_SANITIZED
64,01_input_chain_63_63b.csv,64/01_input_chain_63_63b.csv,350,COPIED_SANITIZED
64,02_normal_hypothesis_collapse_table.csv,64/02_normal_hypothesis_collapse_table.csv,2989,COPIED_SANITIZED
64,03_device_role_for_normal_collapse.csv,64/03_device_role_for_normal_collapse.csv,485,COPIED_SANITIZED
64,04_public_safe_wording.csv,64/04_public_safe_wording.csv,569,COPIED_SANITIZED
64,05_claim_boundary_64.csv,64/05_claim_boundary_64.csv,603,COPIED_SANITIZED
65,00_MASTER_SUMMARY.json,65/00_MASTER_SUMMARY.json,1695,COPIED_SANITIZED
65,08_README_VERDICT.txt,65/08_README_VERDICT.txt,1155,COPIED_SANITIZED
65,01_input_chain_56_64.csv,65/01_input_chain_56_64.csv,1296,COPIED_SANITIZED
65,02_system_axis_final_seal.csv,65/02_system_axis_final_seal.csv,1557,COPIED_SANITIZED
65,03_device_final_role_matrix.csv,65/03_device_final_role_matrix.csv,1432,COPIED_SANITIZED
65,04_final_claim_boundary.csv,65/04_final_claim_boundary.csv,1376,COPIED_SANITIZED
65,05_public_safe_summary.csv,65/05_public_safe_summary.csv,879,COPIED_SANITIZED
65,06_next_action.csv,65/06_next_action.csv,240,COPIED_SANITIZED
